id,title,resource_type,description,url,open_science,llm_use,discipline,date_recorded,date_recorded_original,topics,source_urls
resource-001,14 Examples of How LLMs Can Transform Materials Science and Chemistry: A Reflection on a Large Language Model Hackathon,Use Case Example,"Large-language models (LLMs) such as GPT-4 caught the interest of many scientists. Recent studies suggested that these models could be useful in chemistry and materials science. To explore these possibilities, we organized a hackathon.
This article chronicles the projects built as part of this hackathon. Participants employed LLMs for various applications, including predicting properties of molecules and materials, designing novel interfaces for tools, extracting knowledge from unstructured data, and developing new educational applications.
The diverse topics and the fact that working prototypes could be generated in less than two days highlight that LLMs will profoundly impact the future of our fields. The rich collection of ideas and projects also indicates that the applications of LLMs are not limited to materials science and chemistry but offer potential benefits to a wide range of scientific disciplines.",https://arxiv.org/abs/2306.06283,Preprint,Other,Chemistry; Engineering,2024-02-09,"February 9, 2024",Use Case Examples,https://web.archive.org/web/20250218201227/https://llminscience.com/resources/use-case-examples/
resource-002,A Primer for Evaluating Large Language Models in Social Science Research,Discussion Article,"Autoregressive Large Language Models (LLMs) exhibit remarkable conversational and reasoning abilities, and exceptional flexibility across a wide range of tasks. Subsequently, LLMs are being increasingly used in scientific research, to analyze data, generate synthetic data, or even to write scientific papers. This trend necessitates that authors follow best practices for conducting and reporting LLM research and that journal reviewers are able to evaluate the quality of works that use LLMs. We provide authors of social scientific research with essential recommendations to ensure replicable and robust results using LLMs. Our recommendations also highlight considerations for reviewers, focusing on methodological rigor, replicability, and validity of results when evaluating studies that use LLMs to automate data processing or simulate human data. We offer practical advice on assessing the appropriateness of LLM applications in submitted studies, emphasizing the need for transparency in methodological reporting and the challenges posed by the non-deterministic and continuously evolving nature of these models. By providing a framework for best practices and critical review, this primer aims to ensure high-quality, innovative research within the evolving landscape of social science studies using LLMs.",https://osf.io/preprints/psyarxiv/ag7hy_v2,Preprint,Other,Psychology,2025-02-12,"February 12, 2025",Discussion Articles,https://web.archive.org/web/20250322091614/https://llminscience.com/resources/discussion-articles/
resource-003,AI-Augmented Cultural Sociology: Guidelines for LLM-assisted text analysis and an illustrative example,Research Article; Use Case Example,"The advent of large language models (LLMs) presents a promising opportunity for how we analyze text and, by extension, can study the role of culture and symbolic meanings in social life. Using an illustrative example focused on the concept of “personalized service” within Michelin-starred restaurants, this research note demonstrates how LLMs can reliably identify complex, multifaceted concepts similarly to a qualitative data analyst, but in a more scalable manner. We extend existing validation approaches, offering guidelines on the amount of manually coded data needed to evaluate LLM-generated outputs, drawing on sampling theory and a data simulation. We also discuss broader applications of LLMs in cultural sociology, such as investigations on established concepts (e.g., cultural consecration) and emerging concepts (e.g., future-oriented deliberation). This discussion underscores that AI-tools can significantly augment the empirical scope of research projects, building on rather than replacing traditional qualitative approaches. Our study ultimately advocates for an optimistic yet cautious engagement with AI-tools in social scientific inquiry, highlighting both their analytic potential and the need for ongoing reflection on their ethical implications.",https://osf.io/preprints/socarxiv/tx8jn,Preprint,Data Analysis,Sociology,2024-12-03,"December 3, 2024",Use Case Examples,https://web.archive.org/web/20250218201227/https://llminscience.com/resources/use-case-examples/
resource-004,AI-Augmented Surveys: Leveraging Large Language Models and Surveys for Opinion Prediction,Research Article,"Large language models (LLMs) that produce human-like responses have begun to revolutionize research practices in the social sciences. This paper shows how we can integrate LLMs and social surveys to accurately predict individual responses to survey questions that were not asked before. We develop a novel methodological framework to personalize LLMs by considering the meaning of survey questions derived from their text, the latent beliefs of individuals inferred from their response patterns, and the temporal contexts across different survey periods through fine-tuning LLMs with survey data. Using the General Social Survey from 1972 to 2021, we show that the fine-tuned model based on Alpaca-7b can predict individual responses to survey questions that are partially missing as well as entirely missing. The remarkable prediction capabilities allow us to fill in missing trends with high confidence and pinpoint when public attitudes changed, such as the rising support for same-sex marriage. We discuss practical constraints, socio-demographic representation, and ethical concerns regarding individual autonomy and privacy when using LLMs for opinion prediction. This study demonstrates that LLMs and surveys can mutually enhance each other's capabilities: LLMs broaden survey potential, while surveys improve the alignment of LLMs.",https://arxiv.org/abs/2305.09620,Preprint,Data Collection; Data Cleaning/Preparation,Computer Science,,,Research Articles,https://web.archive.org/web/20240419124855/https://llminscience.com/resources/articles/
resource-005,Artificial intelligence and illusions of understanding in scientific research,Discussion Article,"Scientists are enthusiastically imagining ways in which artificial intelligence (AI) tools might improve research. Why are AI tools so attractive and what are the risks of implementing them across the research pipeline? Here we develop a taxonomy of scientists’ visions for AI, observing that their appeal comes from promises to improve productivity and objectivity by overcoming human shortcomings. But proposed AI solutions can also exploit our cognitive limitations, making us vulnerable to illusions of understanding in which we believe we understand more about the world than we actually do. Such illusions obscure the scientific community’s ability to see the formation of scientific monocultures, in which some types of methods, questions and viewpoints come to dominate alternative approaches, making science less innovative and more vulnerable to errors. The proliferation of AI tools in science risks introducing a phase of scientific enquiry in which we produce more but understand less. By analysing the appeal of these tools, we provide a framework for advancing discussions of responsible knowledge production in the age of AI.",https://www.nature.com/articles/s41586-024-07146-0,Open Source,Research Design; Other,Any Discipline,2025-01-16,"January 16, 2025",Discussion Articles,https://web.archive.org/web/20250322091614/https://llminscience.com/resources/discussion-articles/
resource-006,Autonomous chemical research with large language models,Discussion Article,"Transformer-based large language models are making significant strides in various fields, such as natural language processing1,2,3,4,5, biology6,7, chemistry8,9,10 and computer programming11,12. Here, we show the development and capabilities of Coscientist, an artificial intelligence system driven by GPT-4 that autonomously designs, plans and performs complex experiments by incorporating large language models empowered by tools such as internet and documentation search, code execution and experimental automation. Coscientist showcases its potential for accelerating research across six diverse tasks, including the successful reaction optimization of palladium-catalysed cross-couplings, while exhibiting advanced capabilities for (semi-)autonomous experimental design and execution. Our findings demonstrate the versatility, efficacy and explainability of artificial intelligence systems like Coscientist in advancing research.",https://www.nature.com/articles/s41586-023-06792-0,Open Source,Other,Chemistry,2025-03-03,"March 3, 2025",Discussion Articles,https://web.archive.org/web/20250322091614/https://llminscience.com/resources/discussion-articles/
resource-007,Challenges in Guardrailing Large Language Models for Science,Discussion Article,"The rapid development in large language models (LLMs) has transformed the landscape of natural language processing and understanding (NLP/NLU), offering significant benefits across various domains. However, when applied to scientific research, these powerful models exhibit critical failure modes related to scientific integrity and trustworthiness. Existing general-purpose LLM guardrails are insufficient to address these unique challenges in the scientific domain. We propose a comprehensive taxonomic framework for LLM guardrails encompassing four key dimensions: trustworthiness, ethics & bias, safety, and legal compliance. Our framework includes structured implementation guidelines for scientific research applications, incorporating white-box, blackbox, and gray-box methodologies. This approach specifically addresses critical challenges in scientific LLM deployment, including temporal sensitivity, knowledge contextualization, conflict resolution, and intellectual property protection.",https://arxiv.org/pdf/2411.08181,Preprint,Research Design; Other,Any Discipline,2024-12-18,"December 18, 2024",Discussion Articles,https://web.archive.org/web/20250322091614/https://llminscience.com/resources/discussion-articles/
resource-008,"Contribution and Challenges of ChatGPT and Similar Generative Artificial Intelligence in Biochemistry, Genetics and Molecular Biology",Discussion Article,"The incorporation of ChatGPT, an advanced natural language processing model, into the realms of biochemistry, genetics, and molecular biology has revolutionized research and communication within these fields. This study explores the impacts and obstacles associated with ChatGPT in these domains. ChatGPT has made substantial contributions to the accessibility and dissemination of knowledge in biochemistry, genetics, and molecular biology. It simplifies complex scientific literature, offers concise explanations, answers queries, and generates summaries, benefiting researchers, students, and practitioners. Furthermore, it fosters global collaboration by enabling discussions and knowledge sharing among scientists. One of the primary advantages of ChatGPT is its assistance in decoding intricate genomic and proteomic data. It aids in genetic sequence analysis, identifies potential disease markers, and provides suggestions for experimental designs. Additionally, ChatGPT can assist in composing and reviewing research papers, elevating the quality of scientific publications in these fields. However, despite its merits, ChatGPT encounters challenges in the context of biochemistry, genetics, and molecular biology. It may struggle to grasp highly specialized or novel research topics, potentially leading to the dissemination of inaccurate information if not used judiciously. Privacy concerns arise when discussing sensitive genetic or medical data. ChatGPT brings valuable advantages to the domains of biochemistry, genetics, and molecular biology by simplifying information access, promoting collaborative research, and aiding in data interpretation. Nevertheless, users must remain vigilant about potential inaccuracies and privacy issues. Addressing these challenges as technology evolves will be crucial to fully unlock ChatGPT's potential in advancing research and education within these critical scientific disciplines.",https://papers.ssrn.com/sol3/papers.cfm?abstract_id=4603219,Preprint,Other,Biology,2025-01-09,"January 9, 2025",Discussion Articles,https://web.archive.org/web/20250322091614/https://llminscience.com/resources/discussion-articles/
resource-009,Emergent autonomous scientific research capabilities of large language models,Research Article,"Transformer-based large language models are rapidly advancing in the field of machine learning research, with applications spanning natural language, biology, chemistry, and computer programming. Extreme scaling and reinforcement learning from human feedback have significantly improved the quality of generated text, enabling these models to perform various tasks and reason about their choices. In this paper, we present an Intelligent Agent system that combines multiple large language models for autonomous design, planning, and execution of scientific experiments. We showcase the Agent's scientific research capabilities with three distinct examples, with the most complex being the successful performance of catalyzed cross-coupling reactions. Finally, we discuss the safety implications of such systems and propose measures to prevent their misuse.",https://arxiv.org/abs/2304.05332,Preprint,Other,Computer Science,,,Research Articles,https://web.archive.org/web/20240419124855/https://llminscience.com/resources/articles/
resource-010,Engineering of Inquiry: The “Transformation” of Social Science through Generative AI,Discussion Article,"We increasingly read that generative AI will “transform” the social sciences, but little to no work has conceptualized the conditions necessary to fulfill such a promise. We review recent research on generative AI and evaluate its potential to reshape research practices. As the technology advances, generative AI could support various research tasks, including idea generation, data collection, and analysis. However, we discuss three challenges to an optimistic outlook that focuses solely on accelerating research through practical tools and reducing costs through inexpensive “synthetic” data. First, generative AI raises severe concerns about the validity of conclusions drawn from synthetic data about human populations. Second, possible efficiency gains in the research process may be partially offset by new problems introduced by the technology. Third, applications of generative AI have so far focused on enhancing existing methods, with limited efforts to harness the technology’s unique potential to simulate human behavior in social environments. Sociologists could use sociological theories and methods to develop “generative agents.” A new “trading zone” could emerge where social scientists, statisticians, and computer scientists develop new methodologies to facilitate innovative lines of inquiry and produce scientifically valid conclusions.",https://osf.io/preprints/osf/uy4c7,Preprint,Research Design; Other,Any Discipline,2025-01-10,"January 10, 2025",Discussion Articles,https://web.archive.org/web/20250322091614/https://llminscience.com/resources/discussion-articles/
